NAIF,Name
2000001,CERES
2000002,PALLAS
2000004,VESTA
2000016,PSYCHE
2000021,LUTETIA
2000052,52_EUROPA
2000052,52 EUROPA
2000216,KLEOPATRA
2000253,MATHILDE
2000433,EROS
2000511,DAVIDA
2002867,STEINS
2004015,WILSON-HARRINGTON
2004179,TOUTATIS
2009969,1992KD
2009969,BRAILLE
2025143,ITOKAWA
2101955,BENNU
2162173,RYUGU
2431010,IDA
2431011,DACTYL
2486958,ARROKOTH
9511010,GASPRA
20000617,PATROCLUS_BARYCENTER
20000617,PATROCLUS BARYCENTER
20003548,EURYBATES_BARYCENTER
20003548,EURYBATES BARYCENTER
20011351,LEUCUS
20015094,POLYMELE
20021900,ORUS
20052246,DONALDJOHANSON
20065803,DIDYMOS_BARYCENTER
20065803,DIDYMOS BARYCENTER
120000617,MENOETIUS
120003548,QUETA
120065803,DIMORPHOS
920000617,PATROCLUS
920003548,EURYBATES
920065803,DIDYMOS
